Predictor,Benchmark,IPC,CPI,Instructions,DirRate,AddrRate,Misses,Lookups
GAg,gcc,0.7496,1.3341,10000002,0.7562,0.7288,492118,2746037
GAg,go,1.0327,0.9683,10000002,0.7636,0.7582,386130,2244453
GAg,li,1.2946,0.7724,10000002,0.8508,0.8097,340431,3278364
GAp,gcc,0.8035,1.2445,10000002,0.8327,0.8055,337841,2547565
GAp,go,1.0821,0.9242,10000000,0.8073,0.8017,314838,2148927
GAp,li,1.5636,0.6395,10000002,0.915,0.8983,193829,2852810
PAg,gcc,0.839,1.192,10000002,0.875,0.8485,252287,2474735
PAg,go,1.1812,0.8466,10000000,0.8849,0.8803,188029,1958830
PAg,li,1.6256,0.6152,10000002,0.9319,0.915,155309,2819590
PAp,gcc,0.75,1.3333,10000002,0.7494,0.7225,505928,2665975
PAp,go,1.092,0.9157,10000003,0.8113,0.8062,308189,2079347
PAp,li,1.4193,0.7046,10000002,0.8799,0.8466,273896,3082728
Gshare,gcc,0.7755,1.2894,10000002,0.7895,0.7624,425075,2587219
Gshare,go,1.0635,0.9403,10000002,0.7852,0.7795,350931,2146658
Gshare,li,1.6452,0.6078,10000002,0.9361,0.9167,145848,2737184
Comb_bimodal+gshare,gcc,0.8623,1.1598,10000002,0.9058,0.8793,190136,2436474
Comb_bimodal+gshare,go,1.182,0.846,10000000,0.8907,0.8864,178530,1957613
Comb_bimodal+gshare,li,1.3285,0.7527,10000002,0.9857,0.9394,27092,2181008
Alpha21264,gcc,0.8561,1.168,10000002,0.8971,0.8753,207648,2427419
Alpha21264,go,1.2042,0.8304,10000000,0.8995,0.8976,164091,1920137
Alpha21264,li,1.6643,0.6008,10000002,0.9463,0.9264,122488,2731822
Base,gcc,0.8435,1.1855,10000002,0.8832,0.8568,235839,2495848
Base,go,1.1653,0.8582,10000002,0.8812,0.8771,194011,1983291
Base,li,1.5337,0.652,10000002,0.9234,0.8898,174728,2964787
